,url,date,author,text,text_tokenised
181,"https://afdbundestag.de/kotre-kohlekommission-aufloesen/
",2018-09-26,Kotré,"Sehr bedenklich ist auch der Vorstoß von Herrn Ronald Pofalla, der die Abschaltung der letzten Kohlekraftwerke zwischen 2035 und 2038 vorsieht. Das würde unsere Stromversorgung noch teurer und unsicherer machen. Schon jetzt haben wir durch die Energiewende mit die höchsten Strompreise in der Welt.","bedenklich Vorstoß Herrn Ronald Pofalla , Abschaltung letzten Kohlekraftwerke 2035 2038 vorsieht . Stromversorgung teurer unsicherer . Energiewende höchsten Strompreise Welt ."
182,"https://afdbundestag.de/kotre-kohlekommission-aufloesen/
",2018-09-26,Kotré,Diese Kommission ist absolut voreingenommen und untauglich im Sinne ihres Auftrags. Darüber hinaus hat sie keinen einzigen Experten der Stromversorgung. Die Mitglieder der Kohlekommission reden als Blinde von der Farbe. Das ist der eigentliche Skandal.,Kommission absolut voreingenommen untauglich Sinne Auftrags . hinaus einzigen Experten Stromversorgung . Mitglieder Kohlekommission reden Blinde Farbe . eigentliche Skandal .
183,"https://afdbundestag.de/politik-des-klimanationalismus-der-gruenen-funktioniert-nicht-thomas-seitz-afd-fraktion/
",2018-09-27,Thomas Seitz,Politik des Klimanationalismus der Grünen funktioniert nicht! AfD-Fraktion,Politik Klimanationalismus Grünen funktioniert ! AfD-Fraktion
184,"https://afdbundestag.de/gruene-wollen-ihre-klimaideologie-im-grundgesetz-verankern-karsten-hilse-afd-fraktion/
",2018-09-27,Karsten Hilse,Grüne wollen ihre Klimaideologie im Grundgesetz verankern! AfD-Fraktion,Grüne Klimaideologie Grundgesetz verankern ! AfD-Fraktion
185,"https://afdbundestag.de/spaniel-nachruestungen-sind-ein-populistisches-maerchen/
",2018-09-28,Spaniel,"Einmal sollen Bürger, dann wieder Fahrzeughersteller dafür aufkommen, während SPD-Umweltministerin Schulze der Klimaschutz wichtiger ist, als die Frage, wie Pendler zur Arbeit kommen sollen, kritisiert Dirk Spaniel, verkehrspolitischer Sprecher der AfD-Fraktion.","Bürger , Fahrzeughersteller aufkommen , SPD-Umweltministerin Schulze Klimaschutz wichtiger , Frage , Pendler Arbeit , kritisiert Dirk Spaniel , verkehrspolitischer Sprecher AfD-Fraktion ."
186,"https://afdbundestag.de/kotre-sofortiger-stopp-der-energiewende/
",2018-09-28,Kotré,"Sofortiger Stopp der Energiewende! Berlin, 28. September 2018.","Sofortiger Stopp Energiewende ! Berlin , 28. September 2018."
187,"https://afdbundestag.de/kotre-sofortiger-stopp-der-energiewende/
",2018-09-28,Kotré,"Der AfD-Bundestagsabgeordnete Steffen Kotré, Energiepolitischer Sprecher der AfD-Fraktion im Bundestag und Mitglied im Bundestagsausschuss Wirtschaft und Energie, fordert den sofortigen Stopp der Energiewende: „Ich fordere von der Bundesregierung den sofortigen Ausstieg aus der unsozialen und sinnlosen Energiewende.","AfD-Bundestagsabgeordnete Steffen Kotré , Energiepolitischer Sprecher AfD-Fraktion Bundestag Mitglied Bundestagsausschuss Wirtschaft Energie , fordert sofortigen Stopp Energiewende : „ fordere Bundesregierung sofortigen Ausstieg unsozialen sinnlosen Energiewende ."
188,"https://afdbundestag.de/kotre-sofortiger-stopp-der-energiewende/
",2018-09-28,Kotré,"Ich stimme dem Präsidenten des Bundesrechnungshofes, Kay Scheller voll zu, wenn er sagt, dass die große Belastung für Bürger und Wirtschaft in krassem Missverhältnis zu dem bisher dürftigen Ertrag steht. Es zeichnet sich nämlich schon heute ab, dass das Projekt Energiewende zum Scheitern verurteilt ist.","stimme Präsidenten Bundesrechnungshofes , Kay Scheller voll , , Belastung Bürger Wirtschaft krassem Missverhältnis dürftigen Ertrag steht . zeichnet nämlich , Projekt Energiewende Scheitern verurteilt ."
189,"https://afdbundestag.de/kotre-sofortiger-stopp-der-energiewende/
",2018-09-28,Kotré,"Wenn nämlich der letzte konventionelle Energieträger, die Kohle, vom Netz geht, drohen die Strompreise durch die Decke zu gehen und wegen zu großer Netzschwankungen Black Outs in ganz Deutschland. Schon jetzt haben wir den teuersten Strom auf der ganzen Welt.","nämlich letzte konventionelle Energieträger , Kohle , Netz , drohen Strompreise Decke Netzschwankungen Black Outs Deutschland . teuersten Strom Welt ."
190,"https://afdbundestag.de/kotre-sofortiger-stopp-der-energiewende/
",2018-09-28,Kotré,"Und wenn wir nach dem Aus unserer im weltweiten Vergleich sauberen Braunkohlekraftwerke den teuren Strom aus dem Rest Europas für enorme Summen zukaufen müssen, ist es zur Umkehr zu spät.“","weltweiten Vergleich sauberen Braunkohlekraftwerke teuren Strom Rest Europas enorme Summen zukaufen , Umkehr spät . “"
